,링크,강좌명,등록수,가격,시간당 단가
0,https://taling.me/Home/Search//Talent/Detail/2299,"[3월모집] 1도 모른 나, 6주 후 실무 쿼리를 작성하다니!   #데이터베이스(SQL) 입문부터 실무까지",0,"276,000","23,000"
1,https://taling.me/Home/Search//Talent/Detail/24389,[3월 원데이 모집 중] 비전공자도 즉시 써먹는 데이터분석 & 시각화 실습! 'R',0,"75,000","25,000"
2,https://taling.me/Home/Search//Talent/Detail/16317,[SQL] 쉽게 배우는 실무 데이터분석! 기초부터 현업사례까지!,0,"360,000","30,000"
3,https://taling.me/Home/Search//Talent/Detail/12245,서울대 출신 경제학 박사가 가르치는 딥러닝 예측방법론,0,"300,000","30,000"
4,https://taling.me/Home/Search//Talent/Detail/25939,[파워비아이공방/기초반]일반 Excel유저를 위한 Power BI 강의 (by 현직컨설턴트,0,"120,000","30,000"
5,https://taling.me/Home/Search//Talent/Detail/15143,[2021년 2월3월/정규반 모집중! 입문자 R데이터 분석]  단계적으로 배우는 R 패키지,0,"240,000","20,000"
6,https://taling.me/Home/Search//Talent/Detail/31045,엑셀 및 R로 이해하는 통계적 분석 (수강자 맞춤형 진행 가능),0,"200,000","20,000"
7,https://taling.me/Home/Search//Talent/Detail/33479,네이버 API 활용하기 + 트렌드 데이터 시각화,0,"180,000","30,000"
8,https://taling.me/Home/Search//Talent/Detail/33468,"Numpy, Pandas 배워서 파이썬 제대로 사용하기",0,"348,000","29,000"
9,https://taling.me/Home/Search//Talent/Detail/33442,파이썬 배울 때 이것만은 꼭 알고가자! Py린이를 위한 코딩 입문,0,"300,000","30,000"
10,https://taling.me/Home/Search//Talent/Detail/7180,초보자 머신러닝/딥러닝 시작하기,0,"375,000","25,000"
11,https://taling.me/Home/Search//Talent/Detail/17445,인공지능 개발을 위한 파이썬 고성능 컴퓨팅,0,"495,000","27,500"
12,https://taling.me/Home/Search//Talent/Detail/31015,하루에 1% 수익률! 인공지능 주식 로봇 만들기,0,"400,000","40,000"
13,https://taling.me/Home/Search//Talent/Detail/13449,[SQL / Tableau / Power BI] 현업에 필요한 데이터 분석 Skill,0,"270,000","30,000"
14,https://taling.me/Home/Search//Talent/Detail/13686,[합격 사업계획서 작성법] 대출X 갚지 않는 정부지원금 받는 정부지원사업으로 리스크 없이 사업하자! 예비창업자 창업자 자영업자 가능,0,"298,000","149,000"
15,https://taling.me/Home/Search//Talent/Detail/27779,[Online] 비전공자도 즉시 써먹는 데이터분석 & 시각화 실습! 'R,0,"144,000","18,000"
16,https://taling.me/Home/Search//Talent/Detail/20845,"[사회과학] 논문 통계/연구방법론 1:1 맞춤 튜터링 (SPSS, AMOS) - 온라인가능",0,"50,000","50,000"
17,https://taling.me/Home/Search//Talent/Detail/29659,"구글 AI인증 강사에게 배우는 파이썬, 머신러닝, 구글AI자격증 입문 수업",0,"240,000","20,000"
18,https://taling.me/Home/Search//Talent/Detail/8779,[수업 개편!] 입.문.즉.시. 데이터 분석 레퍼런스 쌓기 #캐글 대회,0,"156,000","19,500"
19,https://taling.me/Home/Search//Talent/Detail/5050,"심리통계 개인과외, 심리학과 대학원 입시(학업계획서, 논문리딩)",0,"392,000","49,000"
20,https://taling.me/Home/Search//Talent/Detail/15091,[금융x파이썬] 주식투자전략&백테스트를 기초 코딩으로 구현해 투자하자!,0,"540,000","30,000"
21,https://taling.me/Home/Search//Talent/Detail/8384,딥러닝을 이용한 자연어처리,0,"240,000","30,000"
22,https://taling.me/Home/Search//Talent/Detail/611,[R중급] 심리/교육 통계 프로젝트가 막힌다면?!,0,"250,000","25,000"
23,https://taling.me/Home/Search//Talent/Detail/21210,"(데이터공방) 이제는 엑셀말고 파이썬으로, ""파이썬 데이터 분석&시각화 하기""",0,"1,200,000","100,000"
24,https://taling.me/Home/Search//Talent/Detail/704,사회과학 응급 통계 분석/연구설계 코칭 LIVE,0,"400,000","20,000"
25,https://taling.me/Home/Search//Talent/Detail/29898,"미국박사: 논문 통계분석 (SPSS, AMOS, MPLUS, EQS)",0,"45,000","45,000"
26,https://taling.me/Home/Search//Talent/Detail/32679,[PDF파일]경쟁사와의 웹사이트 비교 분석 및 구글 검색엔진 최적화(SEO)진단해 드립니다,0,"10,000","10,000"
27,https://taling.me/Home/Search//Talent/Detail/32805,"과학고,서울대 출신, 자격증다수보유! 데이터분석,Python,R,SQL 가르쳐드립니다.",0,"400,000","50,000"
28,https://taling.me/Home/Search//Talent/Detail/7074,[이론/실무]# 인공지능 # 딥러닝 # A.I 모델을 만들어보자!,0,"640,000","80,000"
29,https://taling.me/Home/Search//Talent/Detail/6405,전공자가 진행하는 통계과외,0,"480,000","60,000"
30,https://taling.me/Home/Search//Talent/Detail/5205,기초부터 배우는 R 프로그래밍,0,"450,000","30,000"
31,https://taling.me/Home/Search//Talent/Detail/3646,실전 예제로 배우는 SQL,0,"360,000","30,000"
32,https://taling.me/Home/Search//Talent/Detail/5476,[SQL] 누구의 도움 없이 혼.자.서. 데이터 실컷 뽑자!,0,"420,000","35,000"
33,https://taling.me/Home/Search//Talent/Detail/1915,[9월 반 모집중][現데이터분석가]문과를 위한 데이터 분석,0,"200,000","25,000"
34,https://taling.me/Home/Search//Talent/Detail/23931,"[창업/스타트업] 3년차 젊은 창업자가 알려드리는 '생각을 매출로 만드는 공식!' 모든 잘되는 사업들이 해왔던 공통, 기본 사업공식을 알려드려요!",0,"87,000","29,000"
35,https://taling.me/Home/Search//Talent/Detail/25134,이미지와 텍스트 추출 및 DB 관리를 위한 웹크롤링 및 분석 실무,0,"792,000","33,000"
36,https://taling.me/Home/Search//Talent/Detail/2991,R데이터 분석/시각화 원데이 클래스!,0,"90,000","15,000"
37,https://taling.me/Home/Search//Talent/Detail/2683,"MATLAB으로 배우는 통계, 베이즈 통계 (기계학습 이론)",0,"80,000","40,000"
38,https://taling.me/Home/Search//Talent/Detail/14381,[3회완성][데이터분석/딥러닝] 우버 출신 연구원과 함께하는 데이터분석과 딥러닝,0,"180,000","20,000"
39,https://taling.me/Home/Search//Talent/Detail/19906,"파이썬&데이터분석 나만의 포토폴리오까지, 비전공자도 커리어전환!",0,"540,000","30,000"
40,https://taling.me/Home/Search//Talent/Detail/3402,[R코딩/R Studio] R로 배우는 데이터분석! 나도 코딩 전문가!,0,"300,000","30,000"
41,https://taling.me/Home/Search//Talent/Detail/3145,"[R studio] 데이터사이언스, 시작은 통계 분석부터!",0,"200,000","25,000"
42,https://taling.me/Home/Search//Talent/Detail/20992,"데이터 추출 요청은 그만, 3시간 만에 활용하는 SQL",0,"54,000","18,000"
43,https://taling.me/Home/Search//Talent/Detail/20380,[1:1 수업] 파이썬을 활용한 엑셀 업무 자동화 #반복업무 싫어요 #정시퇴근할래요,0,"180,000","30,000"
44,https://taling.me/Home/Search//Talent/Detail/5541,머신러닝을 위한 기초 수학 1달 속성코스(수포자 환영),0,"200,000","20,000"
45,https://taling.me/Home/Search//Talent/Detail/7167,[R/데이터/실무] 입사 전에 배우는 가장 실전적인 R : 데이터 처리 및 분석 / 엑셀과의 작별...,0,"144,000","18,000"
46,https://taling.me/Home/Search//Talent/Detail/6376,[Tableau] 오늘 배워서 내일 실무에 적용하는 태블로!,0,"300,000","25,000"
47,https://taling.me/Home/Search//Talent/Detail/727,DataScience부터 최신 AI 트렌드 정리,0,"45,000","15,000"
48,https://taling.me/Home/Search//Talent/Detail/1783,중요한건 '통계학적 사고'다,0,"160,000","20,000"
49,https://taling.me/Home/Search//Talent/Detail/16436,[4주 완성] 문과생도 할 수 있다! 쉽게 배우는 머신러닝/데이터 사이언스,0,"200,000","25,000"
50,https://taling.me/Home/Search//Talent/Detail/13426,기본부터 실무까지 구글애널리틱스(GA) 1Day 완벽정복,0,"80,000","20,000"
51,https://taling.me/Home/Search//Talent/Detail/8901,데이터 분석 & 시각화 ( with R ),0,"200,000","25,000"
52,https://taling.me/Home/Search//Talent/Detail/14859,실무 개발자에게 배우는 파이썬과 머신러닝 기초 (AI/인공지능/딥러닝/프로그래밍/데이터분석),0,"160,000","20,000"
53,https://taling.me/Home/Search//Talent/Detail/8141,[원데이] 빅데이터를 활용한 시뮬레이션 모델링,0,"50,000","25,000"
54,https://taling.me/Home/Search//Talent/Detail/14277,S그룹인재원 주관 핵심인재 대상 4년 연속 진행된 [데이터 사고력 & 스토리텔링] 원데이 강의,0,"200,000","40,000"
55,https://taling.me/Home/Search//Talent/Detail/2415,DataScience부터 최신 AI 트렌드 정리,0,"92,000","23,000"
56,https://taling.me/Home/Search//Talent/Detail/5158,"기초통계 이론과 함께하는 R 데이터 분석(시각화, 전처리)",0,"312,000","39,000"
